kommunenummer,K1,K2,K3,K4,K5,K6,K7
1545,0.0,0.0,0.0,0.0,2019.0,0.0,0.0
1546,0.0,0.0,0.0,1238.0,0.0,0.0,0.0
1547,0.0,0.0,0.0,0.0,3539.0,0.0,0.0
1548,0.0,0.0,0.0,0.0,9800.0,0.0,0.0
1551,0.0,0.0,0.0,0.0,3433.0,0.0,0.0
1554,0.0,0.0,0.0,0.0,5849.0,0.0,0.0
1557,0.0,0.0,0.0,0.0,2641.0,0.0,0.0
1560,0.0,0.0,0.0,0.0,3045.0,0.0,0.0
1563,0.0,0.0,0.0,0.0,7106.0,0.0,0.0
1566,0.0,0.0,0.0,0.0,5928.0,0.0,0.0
1571,0.0,0.0,0.0,1574.0,0.0,0.0,0.0
1573,0.0,0.0,0.0,0.0,2134.0,0.0,0.0
1576,0.0,0.0,0.0,0.0,3553.0,0.0,0.0
1804,0.0,0.0,0.0,0.0,0.0,52024.0,0.0
1805,0.0,0.0,0.0,0.0,18630.0,0.0,0.0
1811,0.0,0.0,0.0,1450.0,0.0,0.0,0.0
1812,0.0,0.0,0.0,0.0,2014.0,0.0,0.0
1813,0.0,0.0,0.0,0.0,7916.0,0.0,0.0
1815,0.0,0.0,0.0,1232.0,0.0,0.0,0.0
1816,0.0,497.0,0.0,0.0,0.0,0.0,0.0
1818,0.0,0.0,0.0,1780.0,0.0,0.0,0.0
1820,0.0,0.0,0.0,0.0,7415.0,0.0,0.0
1822,0.0,0.0,0.0,0.0,2319.0,0.0,0.0
1824,0.0,0.0,0.0,0.0,13403.0,0.0,0.0
1825,0.0,0.0,0.0,1493.0,0.0,0.0,0.0
1826,0.0,0.0,0.0,1359.0,0.0,0.0,0.0
1827,0.0,0.0,0.0,1391.0,0.0,0.0,0.0
1828,0.0,0.0,0.0,1792.0,0.0,0.0,0.0
1832,0.0,0.0,0.0,0.0,4501.0,0.0,0.0
1833,0.0,0.0,0.0,0.0,0.0,26315.0,0.0
1834,0.0,0.0,0.0,1904.0,0.0,0.0,0.0
1835,0.0,456.0,0.0,0.0,0.0,0.0,0.0
1836,0.0,0.0,0.0,1238.0,0.0,0.0,0.0
1837,0.0,0.0,0.0,0.0,6331.0,0.0,0.0
1838,0.0,0.0,0.0,1978.0,0.0,0.0,0.0
1839,0.0,0.0,0.0,1022.0,0.0,0.0,0.0
1840,0.0,0.0,0.0,0.0,4657.0,0.0,0.0
1841,0.0,0.0,0.0,0.0,9760.0,0.0,0.0
1845,0.0,0.0,0.0,1975.0,0.0,0.0,0.0
1848,0.0,0.0,0.0,0.0,2576.0,0.0,0.0
1849,0.0,0.0,0.0,1747.0,0.0,0.0,0.0
1850,0.0,0.0,0.0,1925.0,0.0,0.0,0.0
1851,0.0,0.0,0.0,0.0,2077.0,0.0,0.0
1852,0.0,0.0,0.0,1259.0,0.0,0.0,0.0
1853,0.0,0.0,0.0,1387.0,0.0,0.0,0.0
1854,0.0,0.0,0.0,0.0,2468.0,0.0,0.0
1856,0.0,0.0,508.0,0.0,0.0,0.0,0.0
1857,0.0,0.0,732.0,0.0,0.0,0.0,0.0
1859,0.0,0.0,0.0,1292.0,0.0,0.0,0.0
1860,0.0,0.0,0.0,0.0,11480.0,0.0,0.0
1865,0.0,0.0,0.0,0.0,9595.0,0.0,0.0
1866,0.0,0.0,0.0,0.0,8091.0,0.0,0.0
1867,0.0,0.0,0.0,0.0,2616.0,0.0,0.0
1868,0.0,0.0,0.0,0.0,4449.0,0.0,0.0
1870,0.0,0.0,0.0,0.0,10518.0,0.0,0.0
1871,0.0,0.0,0.0,0.0,4771.0,0.0,0.0
1874,0.0,0.0,0.0,1039.0,0.0,0.0,0.0
1902,0.0,0.0,0.0,0.0,0.0,76648.0,0.0
1903,0.0,0.0,0.0,0.0,0.0,24827.0,0.0
1911,0.0,0.0,0.0,0.0,2858.0,0.0,0.0
1913,0.0,0.0,0.0,0.0,3009.0,0.0,0.0
1917,0.0,0.0,0.0,1375.0,0.0,0.0,0.0
1919,0.0,0.0,0.0,1105.0,0.0,0.0,0.0
1920,0.0,0.0,0.0,1042.0,0.0,0.0,0.0
1922,0.0,0.0,0.0,0.0,4030.0,0.0,0.0
1923,0.0,0.0,0.0,0.0,2183.0,0.0,0.0
1924,0.0,0.0,0.0,0.0,6805.0,0.0,0.0
1925,0.0,0.0,0.0,0.0,3489.0,0.0,0.0
1926,0.0,0.0,0.0,1129.0,0.0,0.0,0.0
1927,0.0,0.0,0.0,1513.0,0.0,0.0,0.0
1928,0.0,0.0,931.0,0.0,0.0,0.0,0.0
1929,0.0,0.0,888.0,0.0,0.0,0.0,0.0
1931,0.0,0.0,0.0,0.0,11679.0,0.0,0.0
