,kommunenummer,navn,SMR,RR
239,4611,Etne,1.296667982,0.987456546
240,4612,Sveio,1.241480773,1.048131662
241,4613,Bømlo,1.156548969,1.024641182
242,4614,Stord,0.963801765,0.989052858
243,4615,Fitjar,0,1.008928309
244,4616,Tysnes,1.254035566,1.087533239
245,4617,Kvinnherad,1.325968744,1.026951642
246,4618,Ullensvang,1.215694655,0.99902741
247,4619,Eidfjord,0,0.938313806
248,4620,Ulvik,0,0.943087816
249,4621,Voss,1.201221234,1.000619319
250,4622,Kvam,0.959401731,0.998130978
251,4623,Samnanger,0.316236107,0.993645916
252,4624,Bjørnafjorden,0.992944617,1.008767668
253,4625,Austevoll,1.299861578,0.985904707
254,4626,Øygarden,0.979863831,0.983622809
255,4627,Askøy,1.043808662,0.987726261
256,4628,Vaksdal,1.264158333,1.059696943
257,4629,Modalen,0,0.952820707
258,4630,Osterøy,1.209843021,1.037851178
259,4631,Alver,1.009112571,1.004587942
260,4632,Austrheim,0,1.115133457
261,4633,Fedje,0,0.930621175
262,4634,Masfjorden,0.819497318,1.071472801
263,4635,Gulen,0,1.021769852
264,4636,Solund,0,0.959887235
265,4637,Hyllestad,0,0.956142791
266,4638,Høyanger,1.395776921,1.016920547
267,4639,Vik,1.306720443,0.952811924
268,4640,Sogndal,1.203552805,0.974241403
269,4641,Aurland,0,1.022130638
270,4642,Lærdal,1.075694183,0.997405651
271,4643,Årdal,1.363236258,1.048606581
272,4644,Luster,1.01869544,0.986343842
273,4645,Askvoll,1.345490431,1.064325535
274,4646,Fjaler,1.598893433,1.051352031
275,4647,Sunnfjord,1.068972489,1.009748392
276,4648,Bremanger,1.652535771,1.021418501
277,4649,Stad,0.968000008,1.019591531
278,4650,Gloppen,1.41612017,1.015765301
279,4651,Stryn,1.111923926,1.009070502
280,5001,Trondheim,0.987329933,0.977682644
281,5006,Steinkjer,1.215269529,1.003105599
282,5007,Namsos,1.197074776,0.994549032
283,5014,Frøya,1.31353055,1.052957655
284,5020,Osen,0,0.950771844
285,5021,Oppdal,0.883167974,1.029356807
286,5022,Rennebu,1.730128984,0.950151094
287,5025,Røros,1.052597165,0.944723292
288,5026,Holtålen,1.026660947,1.024631663
289,5027,Midtre Gauldal,1.11514787,0.992802588
290,5028,Melhus,0.800484869,1.001118789
291,5029,Skaun,0.874076697,0.994341994
292,5031,Malvik,0.982218157,0.98039312
293,5032,Selbu,0.896990714,1.008299879
294,5033,Tydal,0,0.945095627
295,5034,Meråker,0,1.061591023
296,5035,Stjørdal,1.038843235,0.98400108
297,5036,Frosta,1.14486143,0.987275951
298,5037,Levanger,0.98279481,1.003428225
299,5038,Verdal,1.042435031,1.021706981
300,5041,Snåsa,1.007927297,0.948185318
301,5042,Lierne,0,0.943959229
302,5043,Røyrvik,0,0.943467008
303,5044,Namsskogan,0,0.943485986
304,5045,Grong,0,1.022047502
305,5046,Høylandet,0,0.944909229
306,5047,Overhalla,1.262607134,0.973432303
307,5049,Flatanger,0,0.948956695
308,5052,Leka,0,0.943099176
309,5053,Inderøy,1.409534583,1.016687494
310,5054,Indre Fosen,1.12557537,1.013538861
311,5055,Heim,1.093910456,1.010943104
312,5056,Hitra,1.396789365,1.004101837
313,5057,Ørland,1.184471495,1.021262474
314,5058,Åfjord,1.636918902,1.019561579
315,5059,Orkland,1.076676273,0.996420584
