,kommunenummer,navn,SMR,RR,LL,UL
260,4632,Austrheim,0,0.257453421,0.005956242,1.272779779
261,4633,Fedje,0,0.995303143,0.01659218,6.027578476
262,4634,Masfjorden,0,0.278995092,0.009129344,1.334441568
263,4635,Gulen,0,0.30458451,0.01029937,1.431311641
264,4636,Solund,0,0.819982441,0.013055732,5.011087712
265,4637,Hyllestad,0,0.349583135,0.012797584,1.606762337
266,4638,Høyanger,0,0.227807559,0.011229839,0.961441401
267,4639,Vik,0,0.36153054,0.014828491,1.627120105
268,4640,Sogndal,0,0.148847171,0.010791111,0.546006262
269,4641,Aurland,0,0.317121089,0.012592214,1.448506781
270,4642,Lærdal,0,0.327225504,0.013201562,1.489402117
271,4643,Årdal,0,0.179696859,0.010187707,0.719242671
272,4644,Luster,0,0.195457734,0.011907253,0.767680605
273,4645,Askvoll,0,0.214791802,0.009618875,0.921973786
274,4646,Fjaler,0,0.29335213,0.010279436,1.384326619
275,4647,Sunnfjord,0.724327186,0.690039902,0.289217058,1.270109422
276,4648,Bremanger,0,0.236538917,0.011426725,0.991970708
277,4649,Stad,0,0.140851191,0.009852342,0.523129557
278,4650,Gloppen,0,0.190723293,0.011194347,0.754789244
279,4651,Stryn,0,0.189683748,0.011257179,0.75144312
280,5001,Trondheim,1.097450964,1.089391817,0.880900442,1.317588104
281,5006,Steinkjer,1.416691334,1.387286782,0.810731845,2.111248759
282,5007,Namsos,1.379900716,1.378106788,0.669138458,2.342081159
283,5014,Frøya,0,0.230632788,0.010860121,0.970127837
284,5020,Osen,0,0.386076411,0.015861912,1.710036127
285,5021,Oppdal,0,0.184690192,0.011039028,0.730381348
286,5022,Rennebu,0,0.362642493,0.015005018,1.627990808
287,5025,Røros,0,0.212478136,0.013417149,0.817200396
288,5026,Holtålen,0,0.312977932,0.012262626,1.435683669
289,5027,Midtre Gauldal,0,0.197024616,0.012237104,0.766354773
290,5028,Melhus,0,0.10993091,0.00954297,0.378638298
291,5029,Skaun,0,0.168278927,0.01124636,0.633731282
292,5031,Malvik,0,0.137317298,0.010955015,0.485716173
293,5032,Selbu,0,0.239965705,0.01269568,0.986754858
294,5033,Tydal,0,0.861546831,0.016365714,5.14955033
295,5034,Meråker,0,0.304855442,0.01180178,1.39707016
296,5035,Stjørdal,1.18391887,1.159239811,0.623156861,1.856766984
297,5036,Frosta,0,0.365901664,0.013940042,1.657432883
