;kommunenummer;new_cases;Expected;RelativeRisk;PhyRate;PctPoverty;PctAct;PctOld;PctPrimary;PctUrban;PctImmigrants;SpecRate;PctSmoke;PctCramped;ColonRate;GPRate;PhyRate2;PhyRate3
54;1812;11;9,035918543;1,217363785;0,005185185;0,06;0,36;0,192098765;0,4;0,418271605;0;0,009413315;0,086;0,06;0,014072906;0,001234568;0,00012355;12,35497611
55;1813;25;34,44358283;0,725824608;0,002267133;0,061;0,26;0,157922011;0,34;0,637776914;0,025;0,009413315;0,13;0,09;0,014072906;0,001230729;0,000205916;20,59162686
56;1815;7;5,666971136;1,235227749;0,008005249;0,065;0,33;0,211811024;0,48;0,222834646;0;0,009413315;0,112;0;0,014072906;0,001706037;0,000119628;11,96275465
57;1816;5;2,320334638;2,154861595;0,017307692;0,037;0;0,201923077;0,4;0;0;0,009413315;0;0;0,014072906;0,001923077;0,0001059;10,58997953
58;1818;12;7,358138112;1,630847344;0,023541549;0,1;0,35;0,210430564;0,51;0,400848999;0,011;0,016137622;0,145;0,06;0,012393693;0,001031701;0,000168773;16,87726263
59;1820;37;32,55607985;1,136500469;0,002261513;0,068;0,27;0,160361842;0,32;0,820175439;0,034;0,009413315;0,111;0,06;0,014072906;0,001165022;0,00019415;19,41496246
60;1822;14;9,638313113;1,452536335;0,004861111;0,09;0,3;0,177314815;0,41;0,285648148;0,036;0,009413315;0,135;0,09;0,014072906;0,001157407;0,00012355;12,35497611
61;1824;61;59,37825583;1,027312088;0,001578117;0,055;0,23;0,182159766;0,32;0,723754415;0,025;0,009413315;0,119;0,07;0,014072906;0,000976929;0,0002471;24,70995223
62;1825;12;6,635264629;1,808518676;0,00672495;0,05;0;0,221250841;0,43;0,529253531;0;0,009413315;0,148;0,07;0,014072906;0,00134499;0,000117666;11,76664392
63;1826;12;6,528172261;1,838186788;0,006721349;0,059;0;0,224880383;0,47;0,434723172;0;0,009413315;0,15;0,13;0,014072906;0,001253133;0,000115705;11,57053319
64;1827;17;6,465701713;2,629258316;0,006901311;0,074;0,36;0,204278813;0,45;0;0,004;0,009413315;0,222;0,1;0,014072906;0,001380262;0,000117666;11,76664392
65;1828;9;8,06762505;1,115569941;0,005530973;0,083;0,34;0,176438053;0,36;0,724004425;0,03;0,009413315;0,109;0,12;0,014072906;0,001106195;0,000117666;11,76664392
66;1832;28;20,52603718;1,364121079;0,002971014;0,054;0,4;0,204130435;0,43;0,655;0,019;0,009413315;0,146;0,06;0,014072906;0,001231884;0,000160811;16,08108002
67;1833;130;113,7811787;1,142543973;0,001254951;0,053;0,28;0,16996745;0,36;0,824110749;0,018;0,009413315;0,107;0,07;0,014072906;0,000941213;0,000376533;37,65326054
68;1834;16;8,531691978;1,875360719;0,005317294;0,063;0,25;0,219142259;0,49;0,204497908;0;0,009413315;0,21;0,11;0,014072906;0,001133194;0,000119628;11,96275465
69;1835;6;2,186469178;2,744150276;0,018367347;0,048;0;0,163265306;0,49;0,840816327;0;0,009413315;0;0;0,014072906;0,002040816;0,0001059;10,58997953
70;1836;12;5,774063504;2,078259096;0,006697579;0,046;0,39;0,194744977;0,52;0;0;0,009413315;0,108;0;0,014072906;0,000515198;0,000101978;10,19775806
71;1837;35;29,67351028;1,179503189;0,00593985;0,065;0,36;0,181654135;0,41;0,502706767;0,02;0,026656327;0,165;0,08;0,011203735;0,000977444;0,000319068;31,90681594
72;1838;10;9,013607633;1,109433693;0,017409241;0,066;0,37;0,233168317;0,41;0,312871287;0,009;0,026656327;0,117;0,1;0,011203735;0,001072607;0,000284065;28,40649014
73;1839;5;4,921786742;1,015891233;0,031580538;0,051;0;0,257479601;0,53;0;0;0,026656327;0,079;0,12;0,011203735;0,001662134;0,000281372;28,13723431
74;1840;28;20,84731429;1,343098666;0,008454623;0,061;0,31;0,186001712;0,32;0,637200342;0,029;0,026656327;0,088;0,07;0,011203735;0,001391267;0,000319068;31,90681594
75;1841;55;42,53798097;1,292962166;0,00458058;0,057;0,28;0,180425889;0,32;0,731564041;0,015;0,026656327;0,128;0,07;0,011203735;0,00111892;0,000352725;35,27251383
76;1845;18;8,875279991;2,028105031;0,017512988;0,076;0,25;0,214680744;0,45;0,406737054;0,006;0,026656327;0,087;0,07;0,011203735;0,000921736;0,000281372;28,13723431
77;1848;15;11,68645465;1,283537262;0,01387298;0,081;0,3;0,21458572;0,39;0;0,018;0,026656327;0,093;0,11;0,011203735;0,00127275;0,000293489;29,34888555
78;1851;18;9,798951665;1,836931196;0,035974499;0,066;0,33;0,242714026;0,34;0,798724954;0,021;0,037338402;0,117;0,08;0,009586756;0,000910747;0,000383082;38,30823094
79;1853;5;5,988248239;0,834968725;0,058122206;0,056;0,3;0,233979136;0,32;0,473174367;0,004;0,037338402;0,096;0,08;0,009586756;0,000745156;0,000378233;37,82331662
80;1856;2;2,699620108;0,740844978;0,056198347;0,083;0;0,170247934;0,63;0,588429752;0;0,026656327;0;0;0,011203735;0,001652893;0,000274641;27,46409474
81;1857;6;3,337712133;1,79763855;0,048128342;0,093;0;0,187165775;0,63;0,79144385;0;0,026656327;0,261;0,11;0,011203735;0,004010695;0,000290796;29,07962972
82;1859;7;6,068567515;1,153484736;0,025857843;0,061;0,32;0,226470588;0,56;0;0;0,026656327;0;0,09;0,011203735;0,001593137;0,000284065;28,40649014
83;1860;48;48,10232192;0,997872828;0,004143476;0,066;0,28;0,176159555;0,39;0,557235622;0,032;0,026656327;0,116;0,09;0,011203735;0,001082251;0,000360803;36,08028132
84;1865;43;40,26226816;1,067997457;0,004673242;0,07;0,25;0,172115704;0,35;0,695777458;0,036;0,026656327;0,105;0,11;0,011203735;0,001015922;0,000340609;34,06086259
85;1866;40;35,35833014;1,131275143;0,005447585;0,075;0,3;0,190055528;0,33;0,71138314;0,045;0,026656327;0,136;0,08;0,011203735;0,001283022;0,000348686;34,86863008
86;1867;13;12,44948777;1,044219669;0,013321386;0,078;0,27;0,277060932;0,53;0,362365591;0,032;0,026656327;0,193;0,07;0,011203735;0,001493429;0,00030022;30,02202513
87;1868;20;19,77639061;1,011306886;0,008724428;0,082;0,21;0,178023466;0,5;0,525045126;0,014;0,026656327;0,171;0,08;0,011203735;0,00127858;0,000312337;31,23367637
88;1870;45;43,97926576;1,023209443;0,009063853;0,061;0,26;0,147118506;0,34;0,612926136;0,03;0,037338402;0,102;0,11;0,009586756;0,001251353;0,00043319;43,3190122
89;1871;25;22,45816199;1,113181035;0,007450825;0,075;0,25;0,208623088;0,4;0,65289092;0,018;0,026656327;0,102;0,07;0,011203735;0,000894099;0,000302913;30,29128096
90;1874;5;4,997643836;1,000471455;0,069791667;0,083;0;0,238392857;0,56;0,698214286;0;0,037338402;0,137;0,11;0,009586756;0,001041667;0,000379041;37,90413567
91;1875;24;12,3423954;1,944517188;0;0,074;0,26;0;0,41;0;0,017;0,037338402;0,14;0,17;0,009586756;0;0,000392781;39,27805957
92;3001;140;130,3849579;1,073743492;0,002087611;0,086;0,28;0,173408624;0,33;0,855065024;0,036;0,01073107;0,143;0,08;0,008149301;0,000924025;0,000192528;19,25280191
93;3002;228;199,4193756;1,143319195;0,001767694;0,079;0,21;0,168288917;0,29;0,95227227;0,078;0,01073107;0,107;0,1;0,008149301;0,001006914;0,00024934;24,93395658
94;3003;225;235,6255203;0,954905053;0,001590758;0,077;0,26;0,16566613;0,35;0,912905975;0,058;0,01073107;0,116;0,1;0,008149301;0,00094688;0,000265121;26,51205509
95;3004;372;332,7850711;1,117838606;0,00143472;0,087;0,25;0,165301224;0,32;0,91387656;0,064;0,01073107;0,09;0,1;0,008149301;0,000978828;0,000337713;33,77130828
96;3005;464;414,9516904;1,118202458;0,001688299;0,094;0,27;0,152516856;0,31;0,971922618;0,119;0,021182432;0,081;0,12;0,010577094;0,000881787;0,000443419;44,34189009
97;3006;110;111,9561463;0,982527567;0,004145078;0,089;0,26;0,157592666;0,22;0,847548824;0,048;0,021182432;0,069;0,07;0,010577094;0,001155839;0,00029373;29,37297178
98;3007;152;129,1623201;1,176813795;0,003592897;0,08;0,27;0,175430111;0,33;0,690561736;0,036;0,021182432;0,102;0,07;0,010577094;0,001001866;0,00029373;29,37297178
