komunenummer,komunenavn,alletyper,exercise,smoke,snuff
5405,Vadsø,613,13.50203804,18.3423913,18.47826087
5406,Hammerfest,564,10.95460263,19.9104858,16.27
5411,Kvæfjord,538,13.81486676,18.513324,17.35624123
5412,Tjeldsund,590,11.87833494,13.787437,15.76
5413,Ibestad,585,9.620991254,9.0379009,18.58600583
5414,Gratangen,623,8.868778281,8.5972851,21.26696833
5415,Loabák Lavangen,582,9.596928983,8.5412668,19.7696737
5416,Bardu,614,13.58668654,18.2314953,20.34277198
5417,Salangen,616,13.0733945,17.6146789,17.52293578
5418,Målselv,613,13.99588356,18.641576,19.78829756
5419,Sørreisa,645,13.71199082,18.9041882,18.44520941
5420,Dyrøy,684,10.09743136,9.5659876,18.42338353
5421,Senja,587,9.079516908,18.1725728,16.69
5422,Balsfjord,695,14.55257072,18.5376268,17.61252446
5423,Karlsøy,655,15.4973357,18.7833037,15.58614565
5424,Lyngen,541,13.88888889,17.721519,16.52601969
5425,Storfjord Omasvuotna Omasvuono,551,9.249183896,8.8139282,20.07616975
5426,Gáivuotna Kåfjord Kaivuono,540,14.63996185,18.3118741,17.40581784
5427,Skjervøy,592,14.91258142,18.5807336,17.72368872
5428,Nordreisa Ráisa Raisi,620,13.87247912,18.4762681,19.1688735
5429,Kvænangen,749,9.400998336,9.733777,18.21963394
5430,Guovdageaidnu Kautokeino,541,13.79664498,18.5210544,19.92468333
5432,Loppa,575,7.726269316,20.9713024,13.24503311
5433,Hasvik,517,7.751196172,7.3684211,25.35885167
5434,Måsøy,463,8.340080972,7.7732794,22.67206478
5435,Nordkapp,631,14.58852868,18.6720698,17.48753117
5436,Porsanger Porsá?gu Porsanki,508,13.89452333,18.9655172,17.97667343
5437,Kárášjohka Karasjok,500,13.82022472,18.9138577,20.14981273
5438,Lebesby,576,7.906626506,8.0572289,24.17168675
5439,Gamvik,622,7.869974337,7.6988879,27.54491018
5440,Berlevåg,600,7.172131148,27.8688525,13.62704918
5441,Deatnu Tana,499,13.99447132,18.8320663,17.86454734
5442,Unjárga Nesseby,481,8.820403826,17.0031881,13.49628055
5443,Båtsfjord,610,15.28634361,17.9295154,14.97797357
5444,Sør-Varanger,585,13.91107168,18.7419895,18.23917973
