"","kommunenummer","navn","Y","expected","SMR","kommunenavn","air_quality","re_u","re_v","RR","LL","UL"
"75",1841,"Fauske",10,4.7480185563913,2.10614172653959,"Fauske Fuosko",1.825,75,75,1.8226331868685,0.858530066774605,3.154504965313
"76",1845,"SÃ¸rfold",0,0.996684836971412,0,"Sørfold",1.8,76,76,0.20385861090083,0.010778054870505,0.900899115439417
"77",1848,"Steigen",0,1.36225592616191,0,"Steigen",1.5,77,77,0.162261203767067,0.0088176503174716,0.705262907225345
"78",1851,"LÃ¸dingen",0,1.15389381161724,0,"Lødingen",1.875,78,78,0.207107323055724,0.0113790432259059,0.896862759199648
"79",1853,"Evenes",0,0.718299899617407,0,"Evenes",1.525,79,79,0.190629030252964,0.00909028787144289,0.884825165800997
"80",1856,"RÃ¸st",0,0.246637494641976,0,"Røst",1.775,80,80,0.216278099636718,0.00970444179475659,1.05955641116743
"81",1857,"VÃ¦rÃ¸y",0,0.371368196477041,0,"Værøy",1.775,81,81,0.20746086319387,0.00966314558576581,0.995636785398679
"82",1859,"Flakstad",0,0.671537884772824,0,"Flakstad",1.65,82,82,0.178092459978188,0.0088259177819752,0.823682114813029
"83",1860,"VestvÃ¥gÃ¸y",8,5.33336233845487,1.49999184235393,"Vestvågøy",1.875,83,83,1.28148334974143,0.547787509430328,2.34038314273457
"84",1865,"VÃ¥gan",5,4.44346913663858,1.12524692897551,"Vågan",2.025,84,84,0.950998426178998,0.319776832798772,1.96337303129915
"85",1866,"Hadsel",6,3.92611962240187,1.52822648748776,"Hadsel",1.875,85,85,1.26135748816234,0.461622708562142,2.49710028088776
"86",1867,"BÃ¸",0,1.51686707771095,0,"Bø",1.65,86,86,0.171467236579724,0.00972798785286773,0.731119145031129
"87",1868,"Ã˜ksnes",0,2.12658336459292,0,"Øksnes",1.75,87,87,0.161692321848548,0.0102502301942233,0.655720372716062
"88",1870,"Sortland",3,4.75935795214195,0.630337123235257,"Sortland Suortá",2.05,88,88,0.549578085307905,0.139082111852809,1.29487849277515
"89",1871,"AndÃ¸y",0,2.48740711376426,0,"Andøy",1.8,89,89,0.156537968110345,0.0104823028789583,0.620058220524993
"90",1874,"Moskenes",0,0.574569241285509,0,"Moskenes",1.775,90,90,0.195708939305965,0.00962890649239787,0.910407869241183
"91",1875,"HamarÃ¸y",0,1.44779512590165,0,"Hamarøy Hábmer",1.5,91,91,0.159825389262318,0.00883100505474401,0.688437107286735
"92",3001,"Halden",22,14.5397740419818,1.51309091437581,"Halden",4.875,92,92,1.51726297485673,0.958073464452028,2.19719300215968
"93",3002,"Moss",38,22.9886946274468,1.65298641857771,"Moss",5.8,93,93,1.67144573468955,1.18717005083762,2.231199013805
"94",3003,"Sarpsborg",43,25.9741835400286,1.655489957316,"Sarpsborg",5.8,94,94,1.67184526963167,1.21328742790384,2.19723605430281
"95",3004,"Fredrikstad",55,37.6527591929357,1.46071632408599,"Fredrikstad",6.375,95,95,1.48135277717827,1.11871433652461,1.88995809893376
"96",3005,"Drammen",57,45.4260383600367,1.25478694726207,"Drammen",5.7,96,96,1.26788904982764,0.962152193793282,1.6115851097893
"97",3006,"Kongsberg",15,12.765550320346,1.17503747379325,"Kongsberg",4.65,97,97,1.18627369073655,0.676213647810925,1.8345581320548
"98",3007,"Ringerike",20,14.4156198987822,1.38738397241519,"Ringerike",4.275,98,98,1.37740591253223,0.84736169772219,2.02917425382347
"99",3011,"Hvaler",0,2.23322394472201,0,"Hvaler",4.05,99,99,0.329468797806831,0.0320514752203384,1.13221577802761
"100",3012,"Aremark",0,0.664083158804385,0,"Aremark",3.225,100,100,0.384212073322543,0.0232294103860238,1.63218382617671
"101",3013,"Marker",0,1.89603822463448,0,"Marker",3.45,101,101,0.290629756920097,0.0246048127930623,1.06088293843079
"102",3014,"Indre Ã˜stfold",31,20.4440646349521,1.51633251770301,"Indre Østfold",4.85,102,102,1.51871375954036,1.03555156808175,2.08719621827397
"103",3015,"Skiptvet",0,1.64661410834526,0,"Skiptvet",4.225,103,103,0.409325262742358,0.0382395034168265,1.43886966147956
"104",3016,"Rakkestad",7,3.81042903468368,1.8370634740298,"Rakkestad",4.225,104,104,1.74546960190849,0.731327513596433,3.22231130716047
"105",3017,"RÃ¥de",0,3.59291636162141,0,"Råde",4.825,105,105,0.317260459059884,0.0410981859314889,0.974328282516081
"106",3018,"VÃ¥ler",0,2.40134292606943,0,"Våler (Viken)",4.325,106,106,0.347958766832516,0.0371064620290696,1.1565144468294
"107",3019,"Vestby",9,7.75830663472353,1.1600469566025,"Vestby",4.95,107,107,1.19417649107231,0.57446272127564,2.04253001424116
"108",3020,"Nordre Follo",28,26.6708368525019,1.04983582460681,"Nordre Follo",5.8,108,108,1.0777334229061,0.722737548209495,1.49824978333509
"109",3021,"Ã…s",8,8.77850429811373,0.911316977052571,"Ås",5.4,109,109,0.981925241246878,0.458258482743648,1.70784495400946
"110",3022,"Frogn",10,7.48967929989251,1.33517065278663,"Frogn",5.375,110,110,1.38359805649972,0.693579070493836,2.31120841357873
"111",3023,"Nesodden",8,8.36813087600137,0.956007992530672,"Nesodden",5.125,111,111,1.01194790946052,0.469114036200694,1.76676106456301
"112",3024,"BÃ¦rum",48,57.2584029020913,0.838304904907622,"Bærum",5.725,112,112,0.853745391623859,0.631815538583616,1.10596501866534
"113",3025,"Asker",40,42.0170851761751,0.951993690954106,"Asker",4.975,113,113,0.962578655012931,0.690172008004768,1.27622996341751
"114",3026,"Aurskog-HÃ¸land",14,8.07581181172906,1.73357184718777,"Aurskog-Høland",3.75,114,114,1.66748409816778,0.917436577704717,2.63561095720411
