"","kommunenummer","population","cases","expected","SMR"
"116",3028,10262,53,45.7909116494467,1.15743491646863
"117",3029,33308,157,148.626357943848,1.05634022236699
"118",3030,74869,331,334.079103905908,0.990783308893288
"119",3031,21165,81,94.4420819587351,0.857668513019351
"120",3032,5990,22,26.728470159831,0.823092375599662
"121",3033,30081,140,134.226896640714,1.04301003378435
"122",3034,19049,98,85.0001048538599,1.15293975423314
"123",3035,21128,119,94.2769812248597,1.26223812487349
"124",3036,11128,56,49.6551612585308,1.12777803113829
"125",3037,2619,16,11.6864546491815,1.36910641253552
"126",3038,6140,26,27.397797459326,0.948981393069969
"127",3039,1000,5,4.46218199663289,1.12052802950954
"128",3040,3445,12,15.3722169784003,0.78062910618952
"129",3041,4572,13,20.4010960886056,0.637220664200526
"130",3042,2140,9,9.54906947279439,0.942500211736997
"131",3043,4713,30,21.0302637501308,1.42651563273016
"132",3044,4453,28,19.8700964310063,1.40915269823791
"133",3045,3524,16,15.7247293561343,1.01750558865793
"134",3046,2164,12,9.65616184071358,1.24272979243202
"135",3047,12940,53,57.7406350364296,0.917897767604415
"136",3048,16987,85,75.7990855768029,1.12138555964339
"137",3049,23580,113,105.218251480604,1.07395816229498
"138",3050,2592,11,11.5659757352725,0.951065457145443
"139",3051,1382,5,6.16673551934665,0.810801757966382
"140",3052,2524,16,11.2625473595014,1.42063775532113
"141",3053,6359,34,28.3750153165886,1.19823723866408
"142",3054,8654,35,38.615722998861,0.906366559575547
"143",3401,17436,95,77.8026052932911,1.22103880251671
"144",3403,28662,136,127.895060387492,1.06337179550134
"145",3405,26571,135,118.564637832533,1.13861942707303
"146",3407,28974,138,129.287261170441,1.06739054374485
"147",3411,32842,180,146.546981133417,1.22827504604907
"148",3412,7353,28,32.8104242212416,0.853387320175905
"149",3413,19154,101,85.4686339635064,1.18172006871112
"150",3414,5113,27,22.815136548784,1.18342486981254
"151",3415,7831,43,34.9433472156322,1.23056328103461
"152",3416,6299,43,28.1072843967906,1.52985252481061
"153",3417,5024,32,22.4180023510836,1.42742424141343
"154",3418,7597,36,33.8991966284201,1.06197206956281
"155",3419,3882,14,17.3221905109289,0.808211870846655
"156",3420,19979,99,89.1499341107285,1.11048876241498
"157",3421,6754,38,30.1375772052585,1.26088436841464
"158",3422,4317,18,19.2632396794642,0.934422262273418
"159",3423,2665,11,11.8917150210267,0.925013757944086
"160",3424,1974,7,8.80834726135333,0.79470073014861
"161",3425,1409,11,6.28721443325574,1.74958244494038
"162",3426,1684,7,7.51431448232979,0.931555368950924
"163",3427,5495,24,24.5196900714977,0.978805194112064
"164",3428,2447,18,10.9189593457607,1.64850874795028
"165",3429,1660,7,7.4072221144106,0.945023639345396
"166",3430,2045,5,9.12516218311426,0.547935466752832
"167",3431,2748,11,12.2620761267472,0.897074841674305
"168",3432,2197,12,9.80341384660246,1.22406339136227
"169",3433,2299,12,10.258556410259,1.16975522871809
"170",3434,2401,10,10.7136989739156,0.93338444773806
"171",3435,3718,21,16.5903926634811,1.26579282515871
"172",3436,5834,27,26.0323697683563,1.03717027071504
"173",3437,6004,35,26.7909407077839,1.30641175992118
"174",3438,3212,24,14.3325285731848,1.67451262193207
"175",3439,4556,20,20.3297011766595,0.983782291053152
"176",3440,5092,17,22.7214307268547,0.748192321353582
"177",3441,6141,28,27.4022596413226,1.02181354262391
"178",3442,14604,74,65.1657058788267,1.13556661440299
"179",3443,12803,48,57.1293161028909,0.840199100467983
"180",3446,13434,63,59.9449529427663,1.05096420811525
"181",3447,5837,37,26.0457563143462,1.4205769090921
"182",3448,6716,42,29.9680142893865,1.40149425966053
"183",3449,3164,13,14.1183438373465,0.920787887713276
"184",3450,1388,8,6.19350861132645,1.29167496197065
"185",3451,6402,29,28.5668891424438,1.01516128884026
"186",3452,2217,9,9.89265748653512,0.909765653187719
"187",3453,3171,19,14.1495791113229,1.34279612492471
"188",3454,1591,7,7.09933155664293,0.986008322635674
"189",3801,26036,121,116.177370464334,1.04151092003883
"190",3802,21754,112,97.0703071547519,1.15380288043641
"191",3803,48579,229,216.768339214429,1.05642734003452
"192",3804,60149,322,268.395784915472,1.1997207784072
"193",3805,45058,205,201.056996404285,1.01961137222893
"194",3806,35043,146,156.368243708006,0.933693418419615
"195",3807,52077,204,232.377051838651,0.877883587840875
"196",3808,12396,61,55.3132080302613,1.10281074217622
"197",3811,25635,131,114.388035483684,1.14522466834991
"198",3812,2419,7,10.794018249855,0.648507334151863
"199",3813,14030,42,62.6044134127595,0.670879219378485
"200",3814,10695,60,47.7230364539888,1.2572544510626
"201",3815,4124,18,18.402038554114,0.978152499086893
"202",3816,6561,39,29.2763760799084,1.33213208812291
"203",3817,10017,36,44.6976770602717,0.805410982576489
"204",3818,6037,31,26.9381927136728,1.15078247191637
"205",3819,1597,5,7.12610464862273,0.701645603950871
"206",3820,2955,10,13.1857478000502,0.758394605421009
"207",3821,2501,6,11.1599171735789,0.537638398805057
"208",3822,1405,6,6.26936570526921,0.957034615951209
